"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-01","2021","01","01","","-0.8","","-6.7","","-3.7","","21.7","","0.0","","","","","","0.8","","3","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-02","2021","01","02","","-0.5","","-5.0","","-2.8","","20.8","","0.0","","","","","","7.7","","8","","3","","34",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-03","2021","01","03","","-0.6","","-3.8","","-2.2","","20.2","","0.0","","","","","","0.0","","11","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-04","2021","01","04","","-0.7","","-3.6","","-2.1","","20.1","","0.0","","","","","","0.0","","11","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-05","2021","01","05","","-2.4","","-3.6","","-3.0","","21.0","","0.0","","","","","","0.0","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-06","2021","01","06","","0.8","","-8.1","","-3.6","","21.6","","0.0","","","","","","0.0","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-07","2021","01","07","","-0.5","","-9.5","","-5.0","","23.0","","0.0","","","","","","0.2","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-08","2021","01","08","","-4.8","","-11.1","","-8.0","","26.0","","0.0","","","","","","0.0","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-09","2021","01","09","","0.3","","-10.6","","-5.2","","23.2","","0.0","","","","","","0.5","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-10","2021","01","10","","-4.1","","-12.6","","-8.4","","26.4","","0.0","","","","","","0.4","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-11","2021","01","11","","-0.1","","-7.5","","-3.8","","21.8","","0.0","","","","","","1.2","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-12","2021","01","12","","0.5","","-1.3","","-0.4","","18.4","","0.0","","","","","","0.4","","14","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-13","2021","01","13","","1.7","","-1.5","","0.1","","17.9","","0.0","","","","","","0.0","","13","","20","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-14","2021","01","14","","2.5","","-0.2","","1.1","","16.9","","0.0","","","","","","0.0","","13","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-15","2021","01","15","","3.4","","-3.0","","0.2","","17.8","","0.0","","","","","","0.5","","11","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-16","2021","01","16","","2.7","","-1.0","","0.9","","17.1","","0.0","","","","","","18.7","","16","","3","","38",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-17","2021","01","17","","0.8","","-4.7","","-1.9","","19.9","","0.0","","","","","","2.7","","27","","25","","42",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-18","2021","01","18","","-4.6","","-13.7","","-9.1","","27.1","","0.0","","","","","","0.2","","24","","25","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-19","2021","01","19","","-5.8","","-15.0","","-10.4","","28.4","","0.0","","","","","","0.4","","23","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-20","2021","01","20","","-6.5","","-15.3","","-10.9","","28.9","","0.0","","","","","","0.7","","24","","28","","34",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-21","2021","01","21","","-3.3","","-15.2","","-9.2","","27.2","","0.0","","","","","","3.9","","25","","13","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-22","2021","01","22","","-3.1","","-10.0","","-6.5","","24.5","","0.0","","","","","","0.2","","31","","24","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-23","2021","01","23","","-9.9","","-15.6","","-12.7","","30.7","","0.0","","","","","","0.2","","29","","26","","40",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-24","2021","01","24","","-10.1","","-17.6","","-13.8","","31.8","","0.0","","","","","","0.4","","28","","25","","42",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-25","2021","01","25","","-5.7","","-17.0","","-11.3","","29.3","","0.0","","","","","","0.0","","27","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-26","2021","01","26","","-4.0","","-8.6","","-6.3","","24.3","","0.0","","","","","","","M","27","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2021-01-27","2021","01","27","","-1.9","","-6.3","","-4.1","","22.1","","0.0","","","","","","0.4","","30","","","","",""
