"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-01","2022","01","01","","1.4","","-2.4","","-0.5","","18.5","","0.0","","","","","","2.3","","6","","2","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-02","2022","01","02","","-2.3","","-16.8","","-9.6","","27.6","","0.0","","","","","","4.2","","4","","2","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-03","2022","01","03","","-11.7","","-20.8","","-16.2","","34.2","","0.0","","","","","","0.0","","7","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-04","2022","01","04","","-2.8","","-16.4","","-9.6","","27.6","","0.0","","","","","","0.0","","7","","14","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-05","2022","01","05","","2.3","","-6.5","","-2.1","","20.1","","0.0","","","","","","0.6","","7","","34","","73",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-06","2022","01","06","","1.9","","-7.3","","-2.7","","20.7","","0.0","","","","","","0.0","","8","","27","","57",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-07","2022","01","07","","-5.9","","-14.9","","-10.4","","28.4","","0.0","","","","","","1.1","","8","","29","","38",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-08","2022","01","08","","-8.4","","-19.7","","-14.0","","32.0","","0.0","","","","","","0.2","","9","","27","","34",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-09","2022","01","09","","3.3","","-10.8","","-3.8","","21.8","","0.0","","","","","","4.4","","8","","28","","71",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-10","2022","01","10","","-7.1","","-20.5","","-13.8","","31.8","","0.0","","","","","","0.0","","10","","27","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-11","2022","01","11","","-15.2","","-25.0","","-20.1","","38.1","","0.0","","","","","","0.0","","10","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-12","2022","01","12","","-8.8","","-16.4","","-12.6","","30.6","","0.0","","","","","","1.5","","9","","14","","38",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-13","2022","01","13","","-7.1","","-9.8","","-8.5","","26.5","","0.0","","","","","","0.9","","13","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-14","2022","01","14","","-6.7","","-22.9","","-14.8","","32.8","","0.0","","","","","","0.0","","12","","36","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-15","2022","01","15","","-19.1","","-26.0","","-22.6","","40.6","","0.0","","","","","","0.2","","11","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-16","2022","01","16","","-12.8","","-24.8","","-18.8","","36.8","","0.0","","","","","","0.3","","11","","","","",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-01-17","2022","01","17","","-3.3","","-16.6","","-10.0","","28.0","","0.0","","","","","","8.8","","11","","3","","52",""
